Koordinatensystem : Lambert konform konisch
Rechtswert        : 4108500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 534 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4108500 2385500  1  1  1  -3.8  953 169  2.5 4  2.9  95    0    0 211 -285  1
4108500 2385500  1  1  2  -5.1  953 143  2.4 2  2.7  98    0    0 202 -284  1
4108500 2385500  1  1  3  -6.2  953 123  2.6 1  2.6  99    0    0 195 -283  1
4108500 2385500  1  1  4  -6.7  952 120  2.3 0  2.5  99    0    0 188 -282  1
4108500 2385500  1  1  5  -7.1  951 119  2.3 0  2.4  98    0    0 180 -281  1
4108500 2385500  1  1  6  -7.7  951 105  1.8 0  2.3  98    0    0 177 -280  1
4108500 2385500  1  1  7  -7.5  950 115  2.6 1  2.2  98    0    0 181 -279  1
4108500 2385500  1  1  8  -7.1  949 110  1.9 2  2.2  96    0    0 195 -279  1
4108500 2385500  1  1  9  -7.2  949 105  1.9 3  2.3  96    6   15 209 -280  1
4108500 2385500  1  1 10  -5.4  948 118  2.6 5  2.3  93   34   60 228 -284  1
4108500 2385500  1  1 11  -3.5  948 110  1.9 5  2.5  85   82  102 242 -290  1
4108500 2385500  1  1 12  -2.0  948 118  1.9 4  2.6  79  135  121 242 -299  1
4108500 2385500  1  1 13   0.6  948  82  1.2 3  2.8  72  229   97 236 -306  1
4108500 2385500  1  1 14   1.2  946  81  1.9 4  2.8  65  118  121 237 -310  1
4108500 2385500  1  1 15   1.7  947  71  1.2 5  2.8  63   52   97 247 -312  1
4108500 2385500  1  1 16  -0.3  946 147  1.9 6  3.0  70    5   47 255 -313  1
4108500 2385500  1  1 17  -1.5  946 136  1.9 7  3.1  81    0   11 265 -314  1
4108500 2385500  1  1 18  -2.2  946 151  1.3 7  3.0  86    0    0 269 -314  1
4108500 2385500  1  1 19  -1.3  946 114  1.2 7  3.1  88    0    0 264 -315  1
4108500 2385500  1  1 20  -1.1  945 132  2.0 7  3.3  89    0    0 262 -315  1
4108500 2385500  1  1 21  -0.4  945 151  2.0 7  3.5  90    0    0 263 -315  1
4108500 2385500  1  1 22  -0.4  944 149  1.3 7  3.6  91    0    0 274 -315  1
4108500 2385500  1  1 23  -0.6  944  93  1.3 7  3.6  92    0    0 283 -317  1
4108500 2385500  1  1 24  -0.8  944 144  1.3 6  3.6  94    0    0 279 -319  1
4108500 2385500  1  2  1  -0.5  944 301  1.5 6  3.6  93    0    0 273 -319  1
4108500 2385500  1  2  2  -1.0  944 170  1.4 6  3.6  95    0    0 271 -317  1
4108500 2385500  1  2  3   1.0  944 156  2.1 7  3.8  94    0    0 281 -318  1
4108500 2385500  1  2  4   1.7  945 230  1.3 7  4.0  89    0    0 294 -319  1
4108500 2385500  1  2  5   2.7  945 188  1.3 7  3.9  82    0    0 297 -320  1
4108500 2385500  1  2  6   2.7  944 144  1.9 7  3.9  78    0    0 298 -320  1
4108500 2385500  1  2  7   3.6  943 139  3.0 6  3.8  75    0    0 291 -320  1
4108500 2385500  1  2  8   3.7  942 160  2.9 4  3.7  70    0    0 270 -321  1
4108500 2385500  1  2  9   3.1  941 128  2.3 5  3.8  72    0    8 264 -322  1
4108500 2385500  1  2 10   1.4  942 318  3.6 6  3.9  80   13   61 274 -324  1
4108500 2385500  1  2 11   1.9  943 310  2.3 6  4.0  86   43  106 278 -328  1
4108500 2385500  1  2 12   3.6  944 169  1.4 5  4.2  84   61  137 269 -333  1
4108500 2385500  1  2 13   5.4  944 193  2.0 7  4.7  84    6  120 280 -335  1
4108500 2385500  1  2 14   6.7  944 211  2.1 7  5.4  86    0   89 303 -338  1
4108500 2385500  1  2 15   7.2  944 220  2.8 8  5.6  85    0   65 316 -339  1
4108500 2385500  1  2 16   7.1  944 219  2.9 8  5.7  85    1   40 326 -337  1
4108500 2385500  1  2 17   6.7  944 209  3.0 8  5.9  89    0    4 326 -332  1
4108500 2385500  1  2 18   6.2  944 185  3.7 8  6.0  94    0    0 325 -329  1
4108500 2385500  1  2 19   6.3  944 192  3.5 7  6.0  94    0    0 317 -327  1
4108500 2385500  1  2 20   5.5  943 163  2.1 6  5.7  92    0    0 300 -327  1
4108500 2385500  1  2 21   4.0  943 189  2.0 6  5.5  96    0    0 289 -327  1
4108500 2385500  1  2 22   4.0  943 101  1.4 7  5.4 100    0    0 297 -328  1
4108500 2385500  1  2 23   4.4  943 111  1.3 8  5.5 100    0    0 310 -330  1
4108500 2385500  1  2 24   4.4  944 151  2.0 8  5.6 100    0    0 318 -331  1
4108500 2385500  1  3  1   4.4  944 210  2.1 7  5.5  99    0    0 311 -330  1
4108500 2385500  1  3  2   4.6  945 150  2.0 8  5.6  99    0    0 312 -329  1
4108500 2385500  1  3  3   4.9  944 170  2.7 8  5.7 100    0    0 319 -329  1
4108500 2385500  1  3  4   5.0  945 231  2.6 8  5.8 100    0    0 319 -327  1
4108500 2385500  1  3  5   5.3  945 218  2.8 8  5.8  99    0    0 319 -324  1
4108500 2385500  1  3  6   5.0  946 232  2.7 8  5.8  98    0    0 317 -323  1
4108500 2385500  1  3  7   4.8  946 230  3.1 8  5.7  99    0    0 316 -323  1
4108500 2385500  1  3  8   4.7  946 219  3.1 7  5.7  99    0    0 309 -322  1
4108500 2385500  1  3  9   4.6  946 219  3.1 7  5.5  97    0    5 301 -323  1
4108500 2385500  1  3 10   4.7  947 229  3.8 7  5.3  94    1   51 298 -324  1
4108500 2385500  1  3 11   5.9  947 240  4.6 3  5.1  86   93  103 274 -327  1
4108500 2385500  1  3 12   7.8  949 250  6.1 3  4.9  75  165  117 258 -331  1
4108500 2385500  1  3 13   8.3  949 250  6.8 4  4.7  66  128  139 270 -334  1
4108500 2385500  1  3 14   7.8  949 260  6.6 4  4.7  65  108  129 277 -336  1
4108500 2385500  1  3 15   7.8  949 259  4.5 3  4.8  68   68   99 271 -336  1
4108500 2385500  1  3 16   6.8  949 250  5.0 4  4.8  70   28   54 269 -331  1
4108500 2385500  1  3 17   6.0  950 240  3.6 4  4.8  74    0   10 270 -325  1
4108500 2385500  1  3 18   5.7  949 251  3.6 4  4.8  79    0    0 267 -320  1
4108500 2385500  1  3 19   5.5  950 261  4.2 5  4.8  80    0    0 270 -316  1
4108500 2385500  1  3 20   4.5  951 259  3.4 4  4.7  81    0    0 269 -315  1
4108500 2385500  1  3 21   3.4  952 231  3.4 2  4.7  88    0    0 250 -315  1
4108500 2385500  1  3 22   2.8  952 183  1.9 1  4.8  94    0    0 233 -314  1
4108500 2385500  1  3 23   2.3  952 185  1.9 1  4.7  96    0    0 227 -313  1
4108500 2385500  1  3 24   1.8  951 165  1.7 0  4.5  96    0    0 222 -312  1
4108500 2385500  1  4  1   1.3  950 155  1.8 0  4.4  97    0    0 216 -312  1
4108500 2385500  1  4  2   1.2  950 155  1.8 0  4.4  99    0    0 211 -311  1
4108500 2385500  1  4  3   0.8  949 152  2.5 0  4.3 100    0    0 207 -312  1
4108500 2385500  1  4  4   0.5  949 157  2.5 0  4.2 100    0    0 205 -312  1
4108500 2385500  1  4  5   0.2  948 147  2.6 0  4.2 100    0    0 201 -313  1
4108500 2385500  1  4  6   0.3  947 133  1.9 0  4.1 100    0    0 195 -313  1
4108500 2385500  1  4  7   0.1  947 121  2.0 2  4.1 100    0    0 201 -314  1
4108500 2385500  1  4  8   0.3  946 122  2.7 5  4.1 100    0    0 227 -314  1
4108500 2385500  1  4  9   0.2  945 133  2.5 5  4.1 100    3   18 248 -314  1
4108500 2385500  1  4 10   0.9  945 120  2.4 7  4.2  98    7   65 263 -315  1
4108500 2385500  1  4 11   1.4  945 120  1.0 7  4.2  96    1   80 284 -318  1
4108500 2385500  1  4 12   2.1  944 111  1.7 7  4.3  92    0   83 287 -322  1
4108500 2385500  1  4 13   3.3  943 172  1.9 6  4.3  87    5  128 282 -325  1
4108500 2385500  1  4 14   3.1  943 195  1.1 6  4.4  86   13  135 278 -330  1
4108500 2385500  1  4 15   2.6  943 237  2.0 7  4.4  88    0   72 286 -334  1
4108500 2385500  1  4 16   3.1  944 245  2.1 8  4.4  87    1   40 302 -335  1
4108500 2385500  1  4 17   4.1  944 249  3.6 8  4.3  81    0    4 312 -335  1
4108500 2385500  1  4 18   4.1  945 208  3.0 8  4.5  82    0    0 314 -334  1
4108500 2385500  1  4 19   4.2  946 219  3.7 8  5.1  93    0    0 314 -333  1
4108500 2385500  1  4 20   5.2  946 236  5.3 8  5.3  93    0    0 316 -331  1
4108500 2385500  1  4 21   5.2  947 242  4.7 8  5.2  88    0    0 317 -330  1
4108500 2385500  1  4 22   5.4  947 242  4.6 7  5.0  85    0    0 310 -329  1
4108500 2385500  1  4 23   5.5  947 238  3.6 7  4.8  80    0    0 302 -328  1
4108500 2385500  1  4 24   5.6  948 219  2.9 8  4.6  76    0    0 307 -329  1
4108500 2385500  1  5  1   5.3  948 222  2.0 6  4.4  73    0    0 299 -328  1
4108500 2385500  1  5  2   4.5  948 213  2.1 3  4.2  72    0    0 265 -324  1
4108500 2385500  1  5  3   3.8  948 192  2.0 1  4.0  73    0    0 236 -321  1
4108500 2385500  1  5  4   2.9  948 170  1.8 1  4.0  77    0    0 227 -320  1
4108500 2385500  1  5  5   2.1  948 152  2.6 0  4.0  82    0    0 223 -320  1
4108500 2385500  1  5  6   1.6  948 160  1.6 2  3.9  85    0    0 229 -320  1
4108500 2385500  1  5  7   1.3  947 148  2.4 4  3.9  86    0    0 248 -320  1
4108500 2385500  1  5  8   2.1  946 144  3.3 7  3.9  84    0    0 271 -322  1
4108500 2385500  1  5  9   2.6  945 140  3.3 7  3.9  80    1   14 284 -325  1
4108500 2385500  1  5 10   3.0  944 137  3.6 8  3.9  78    5   63 291 -327  1
4108500 2385500  1  5 11   3.8  943 120  2.8 6  3.9  76   15  110 290 -330  1
4108500 2385500  1  5 12   4.6  943 123  2.1 6  4.0  73   11  138 279 -333  1
4108500 2385500  1  5 13   5.0  942 154  2.0 7  4.1  71    1  102 285 -335  1
4108500 2385500  1  5 14   5.0  942 122  1.8 7  4.0  69    0   68 293 -337  1
4108500 2385500  1  5 15   5.5  941 122  2.0 7  4.1  68    0   68 294 -340  1
4108500 2385500  1  5 16   5.1  940 111  2.6 8  4.2  71    0   40 308 -342  1
4108500 2385500  1  5 17   5.3  939 225  1.9 7  4.3  72    0    6 310 -342  1
4108500 2385500  1  5 18   4.9  939 248  1.9 7  4.4  75    0    0 300 -342  1
4108500 2385500  1  5 19   4.9  940 140  2.4 8  4.8  82    0    0 314 -343  1
4108500 2385500  1  5 20   5.6  939 149  3.6 8  4.7  79    0    0 328 -342  1
4108500 2385500  1  5 21   6.0  938 148  2.9 8  4.2  67    0    0 328 -341  1
4108500 2385500  1  5 22   6.6  938 206  0.7 8  3.9  61    0    0 330 -340  1
4108500 2385500  1  5 23   4.9  938 163  1.6 8  4.3  70    0    0 328 -340  1
4108500 2385500  1  5 24   5.1  938  83  1.5 8  4.7  80    0    0 326 -339  1
4108500 2385500  1  6  1   4.6  938 182  1.1 7  4.7  80    0    0 318 -339  1
4108500 2385500  1  6  2   4.4  938 238  1.8 8  4.8  84    0    0 318 -341  1
4108500 2385500  1  6  3   4.4  939 120  1.0 8  4.9  87    0    0 324 -344  1
4108500 2385500  1  6  4   5.0  939 170  1.9 8  5.0  86    0    0 324 -347  1
4108500 2385500  1  6  5   5.7  939 160  1.4 8  4.9  82    0    0 325 -348  1
