Koordinatensystem : Lambert konform konisch
Rechtswert        : 4109500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 532 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4109500 2385500  1  1  1  -5.7  954 178  3.4 3  2.6  98    0    0 210 -285  0
4109500 2385500  1  1  2  -6.0  954 148  3.1 2  2.6  99    0    0 202 -284  0
4109500 2385500  1  1  3  -6.5  953 123  3.0 1  2.5 100    0    0 195 -283  0
4109500 2385500  1  1  4  -7.0  952 121  2.8 0  2.4  99    0    0 187 -282  0
4109500 2385500  1  1  5  -7.4  951 121  2.9 0  2.3  99    0    0 179 -280  0
4109500 2385500  1  1  6  -7.9  951 110  2.5 0  2.2  99    0    0 176 -279  0
4109500 2385500  1  1  7  -7.5  950 120  3.2 0  2.2  99    0    0 175 -279  0
4109500 2385500  1  1  8  -7.1  949 120  2.7 2  2.3  97    0    0 189 -279  0
4109500 2385500  1  1  9  -7.3  949 110  2.6 3  2.3  97    7   15 208 -280  0
4109500 2385500  1  1 10  -5.5  949 120  3.2 5  2.3  94   33   60 228 -284  0
4109500 2385500  1  1 11  -3.5  948 110  2.5 5  2.5  86   87   99 241 -290  0
4109500 2385500  1  1 12  -2.0  949 110  2.3 4  2.6  79  152  112 242 -299  0
4109500 2385500  1  1 13   0.5  948  80  1.6 3  2.8  73  247   87 236 -306  0
4109500 2385500  1  1 14   1.1  947  80  2.3 4  2.8  66  118  119 237 -310  0
4109500 2385500  1  1 15   1.7  947  70  1.6 5  2.8  63   54   96 246 -312  0
4109500 2385500  1  1 16  -0.3  947 147  2.3 6  3.0  70    6   47 255 -313  0
4109500 2385500  1  1 17  -1.6  946 149  2.4 7  3.1  82    0   10 265 -313  0
4109500 2385500  1  1 18  -2.2  946 158  1.8 7  3.0  86    0    0 269 -314  0
4109500 2385500  1  1 19  -1.4  946 110  1.7 7  3.1  88    0    0 263 -314  0
4109500 2385500  1  1 20  -1.1  945 130  2.4 7  3.3  89    0    0 262 -315  0
4109500 2385500  1  1 21  -0.5  945 160  2.3 7  3.4  90    0    0 263 -315  0
4109500 2385500  1  1 22  -0.4  944 147  1.6 7  3.6  91    0    0 274 -315  0
4109500 2385500  1  1 23  -0.6  944  90  1.5 7  3.6  92    0    0 283 -317  0
4109500 2385500  1  1 24  -0.8  944 148  1.5 6  3.6  94    0    0 279 -319  0
4109500 2385500  1  2  1  -0.5  944 310  1.5 6  3.6  93    0    0 273 -318  0
4109500 2385500  1  2  2  -1.0  944 170  1.7 6  3.6  95    0    0 271 -317  0
4109500 2385500  1  2  3   1.0  945 160  2.3 7  3.8  94    0    0 281 -317  0
4109500 2385500  1  2  4   1.7  945 230  1.3 7  4.0  89    0    0 294 -319  0
4109500 2385500  1  2  5   2.7  945 189  1.7 7  3.9  82    0    0 297 -319  0
4109500 2385500  1  2  6   2.7  944 161  2.3 7  3.9  78    0    0 298 -319  0
4109500 2385500  1  2  7   3.6  943 160  3.2 6  3.8  75    0    0 291 -319  0
4109500 2385500  1  2  8   3.7  943 159  3.2 5  3.7  70    0    0 277 -318  0
4109500 2385500  1  2  9   3.1  942 130  2.6 5  3.8  72    0    7 271 -320  0
4109500 2385500  1  2 10   1.3  942 320  4.0 6  3.8  80   11   60 274 -323  0
4109500 2385500  1  2 11   1.9  943 310  2.7 6  4.0  86   49  107 278 -328  0
4109500 2385500  1  2 12   3.6  944 170  1.9 5  4.2  84   58  137 269 -332  0
4109500 2385500  1  2 13   5.4  945 190  2.6 7  4.7  84    7  122 280 -335  0
4109500 2385500  1  2 14   6.6  944 210  2.8 7  5.4  86    2   96 303 -337  0
4109500 2385500  1  2 15   7.2  944 220  3.6 8  5.6  85    0   64 316 -339  0
4109500 2385500  1  2 16   7.1  944 219  3.6 7  5.8  85    2   41 317 -337  0
4109500 2385500  1  2 17   6.6  944 209  3.6 7  6.0  90    0    4 310 -332  0
4109500 2385500  1  2 18   6.2  944 180  4.4 8  6.0  94    0    0 318 -328  0
4109500 2385500  1  2 19   6.3  944 190  4.3 7  6.0  94    0    0 317 -326  0
4109500 2385500  1  2 20   5.5  943 160  2.8 6  5.7  92    0    0 300 -326  0
4109500 2385500  1  2 21   4.0  943 188  2.8 6  5.5  96    0    0 289 -326  0
4109500 2385500  1  2 22   3.9  944 100  2.1 7  5.4 100    0    0 296 -327  0
4109500 2385500  1  2 23   4.4  944 110  2.0 8  5.5 100    0    0 310 -329  0
4109500 2385500  1  2 24   4.3  944 150  2.7 8  5.6 100    0    0 318 -330  0
4109500 2385500  1  3  1   4.4  944 210  2.7 7  5.5  99    0    0 311 -330  0
4109500 2385500  1  3  2   4.6  945 150  2.8 8  5.6  99    0    0 312 -329  0
4109500 2385500  1  3  3   4.7  944 170  3.5 8  5.7 100    0    0 319 -328  0
4109500 2385500  1  3  4   4.9  945 231  3.5 8  5.7 100    0    0 319 -327  0
4109500 2385500  1  3  5   5.2  945 210  3.5 8  5.8  99    0    0 318 -324  0
4109500 2385500  1  3  6   5.0  946 230  3.7 7  5.7  97    0    0 311 -323  0
4109500 2385500  1  3  7   4.8  946 230  4.2 8  5.6  98    0    0 310 -322  0
4109500 2385500  1  3  8   4.7  947 220  4.1 7  5.6  99    0    0 309 -322  0
4109500 2385500  1  3  9   4.5  947 220  4.2 7  5.5  98    0    5 301 -322  0
4109500 2385500  1  3 10   4.7  948 230  4.9 7  5.3  94    0   47 298 -324  0
4109500 2385500  1  3 11   5.9  948 240  5.4 3  5.1  86   81  106 274 -327  0
4109500 2385500  1  3 12   7.8  949 250  6.9 3  4.9  75  166  115 258 -331  0
4109500 2385500  1  3 13   8.2  949 250  7.5 4  4.7  66  123  138 270 -335  0
4109500 2385500  1  3 14   7.8  949 260  7.3 4  4.7  65   99  130 277 -336  0
4109500 2385500  1  3 15   7.7  949 260  5.1 3  4.8  68   72   98 272 -336  0
4109500 2385500  1  3 16   6.8  949 250  5.7 4  4.8  70   30   53 269 -331  0
4109500 2385500  1  3 17   6.0  950 240  4.3 3  4.8  74    0   10 265 -325  0
4109500 2385500  1  3 18   5.6  950 250  4.2 4  4.8  79    0    0 262 -319  0
4109500 2385500  1  3 19   5.4  951 260  4.8 5  4.8  80    0    0 271 -316  0
4109500 2385500  1  3 20   4.5  951 259  3.8 3  4.7  81    0    0 263 -315  0
4109500 2385500  1  3 21   3.4  952 230  4.0 2  4.7  87    0    0 245 -314  0
4109500 2385500  1  3 22   2.7  952 180  2.6 1  4.7  94    0    0 233 -313  0
4109500 2385500  1  3 23   2.2  952 180  2.6 1  4.7  96    0    0 227 -312  0
4109500 2385500  1  3 24   1.6  952 159  2.4 1  4.5  96    0    0 227 -311  0
4109500 2385500  1  4  1   1.4  951 150  2.5 0  4.4  97    0    0 221 -311  0
4109500 2385500  1  4  2   1.1  951 150  2.5 0  4.4  99    0    0 212 -311  0
4109500 2385500  1  4  3   0.7  950 150  3.3 0  4.3 100    0    0 207 -311  0
4109500 2385500  1  4  4   0.3  949 150  3.3 0  4.2 100    0    0 205 -312  0
4109500 2385500  1  4  5   0.1  948 140  3.3 0  4.1 100    0    0 201 -312  0
4109500 2385500  1  4  6   0.2  947 130  2.7 0  4.1 100    0    0 194 -313  0
4109500 2385500  1  4  7  -0.1  947 120  2.7 2  4.1 100    0    0 200 -313  0
4109500 2385500  1  4  8   0.1  946 120  3.4 4  4.1 100    0    0 220 -313  0
4109500 2385500  1  4  9   0.0  946 130  3.4 5  4.1 100    3   18 239 -314  0
4109500 2385500  1  4 10   0.6  945 120  3.4 7  4.1  99    6   65 263 -314  0
4109500 2385500  1  4 11   1.4  945 120  2.0 7  4.2  97    1   82 284 -317  0
4109500 2385500  1  4 12   2.1  944 110  2.8 7  4.3  93    0   83 287 -321  0
