Koordinatensystem : Lambert konform konisch
Rechtswert        : 4111500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 516 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4111500 2385500  1  1  1  -2.1  959 112  2.2 6  3.1  90    0    0 273 -308  3
4111500 2385500  1  1  2  -1.7  959  74  2.2 7  3.2  90    0    0 274 -308  3
4111500 2385500  1  1  3  -1.5  958  46  2.3 8  3.3  91    0    0 274 -307  3
4111500 2385500  1  1  4  -1.6  958  50  2.2 8  3.2  90    0    0 274 -307  3
4111500 2385500  1  1  5  -1.7  958  55  2.2 8  3.2  90    0    0 275 -307  3
4111500 2385500  1  1  6  -1.7  957  60  1.9 8  3.2  90    0    0 275 -306  3
4111500 2385500  1  1  7  -1.9  957  70  2.4 8  3.2  90    0    0 276 -305  3
4111500 2385500  1  1  8  -2.0  956  80  2.3 8  3.2  91    0    0 275 -305  3
4111500 2385500  1  1  9  -2.0  956  90  2.2 8  3.2  92    0   13 276 -305  3
4111500 2385500  1  1 10  -1.8  955  90  2.5 7  3.2  92    5   65 273 -305  3
4111500 2385500  1  1 11  -1.4  955  70  2.9 7  3.2  91    3   93 270 -308  3
4111500 2385500  1  1 12  -1.4  955  70  3.3 7  3.3  90    1  105 271 -309  3
4111500 2385500  1  1 13  -1.2  953  80  2.7 6  3.3  90    0  100 267 -311  3
4111500 2385500  1  1 14  -1.0  952  80  2.9 7  3.3  88    0   64 269 -312  3
4111500 2385500  1  1 15  -1.4  951  80  3.1 8  3.2  88    0   33 281 -312  3
4111500 2385500  1  1 16  -1.4  950  70  2.8 8  3.2  88    0   28 289 -310  3
4111500 2385500  1  1 17  -1.5  950  70  2.7 8  3.2  87    0    6 290 -307  3
4111500 2385500  1  1 18  -1.7  950  70  2.2 8  3.1  87    0    0 291 -304  3
4111500 2385500  1  1 19  -1.9  949  60  3.1 8  3.1  87    0    0 291 -301  3
4111500 2385500  1  1 20  -2.0  949  60  2.4 8  3.1  88    0    0 292 -299  3
4111500 2385500  1  1 21  -1.9  949 309  3.2 8  3.1  87    0    0 293 -298  3
4111500 2385500  1  1 22  -2.1  949  12  3.3 8  3.0  87    0    0 293 -298  3
4111500 2385500  1  1 23  -2.3  949  18  3.0 8  3.0  86    0    0 293 -301  3
4111500 2385500  1  1 24  -2.6  949  80  3.2 6  2.9  86    0    0 277 -303  3
4111500 2385500  1  2  1  -3.3  948  80  3.0 8  2.8  87    0    0 276 -304  3
4111500 2385500  1  2  2  -3.6  948  80  2.8 8  2.9  91    0    0 289 -304  3
4111500 2385500  1  2  3  -3.8  947  80  3.3 8  2.9  93    0    0 289 -304  3
4111500 2385500  1  2  4  -3.8  948  80  3.9 8  2.8  93    0    0 288 -304  3
4111500 2385500  1  2  5  -4.1  948  70  2.9 8  2.8  93    0    0 287 -305  3
4111500 2385500  1  2  6  -4.2  948  60  3.3 8  2.8  94    0    0 286 -305  3
4111500 2385500  1  2  7  -4.3  948  60  3.0 8  2.8  93    0    0 285 -305  3
4111500 2385500  1  2  8  -4.3  948  60  3.5 8  2.7  92    0    0 285 -305  3
4111500 2385500  1  2  9  -4.3  949  60  3.7 8  2.7  92    2   18 284 -305  3
4111500 2385500  1  2 10  -4.1  950  50  3.4 8  2.7  92   33   88 283 -306  3
4111500 2385500  1  2 11  -3.5  950  70  3.6 6  2.7  90   37  139 258 -309  3
4111500 2385500  1  2 12  -3.2  951  50  3.4 6  2.7  87   10  138 235 -312  3
4111500 2385500  1  2 13  -3.4  951  60  3.3 8  2.7  85    0   66 260 -314  3
4111500 2385500  1  2 14  -3.2  951  50  3.7 8  2.6  82    0   40 284 -315  3
4111500 2385500  1  2 15  -3.7  951  60  4.0 7  2.5  81    0   37 273 -315  3
