Koordinatensystem : Lambert konform konisch
Rechtswert        : 4107500 Meter
Hochwert          : 2383500 Meter
Hoehenlage        : 546 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4107500 2383500  1  1  1  -1.8  956 119  1.9 7  3.3  95    0    0 272 -307  3
4107500 2383500  1  1  2  -1.8  956  83  2.0 7  3.3  94    0    0 272 -306  3
4107500 2383500  1  1  3  -1.9  955  51  2.2 8  3.3  93    0    0 272 -306  3
4107500 2383500  1  1  4  -2.1  955  54  2.2 8  3.2  92    0    0 272 -306  3
4107500 2383500  1  1  5  -2.2  955  58  2.2 8  3.2  92    0    0 273 -306  3
4107500 2383500  1  1  6  -2.3  954  58  1.9 8  3.1  92    0    0 273 -305  3
4107500 2383500  1  1  7  -2.5  954  75  2.4 8  3.1  93    0    0 273 -305  3
4107500 2383500  1  1  8  -2.4  953  78  2.2 8  3.1  94    0    0 273 -304  3
4107500 2383500  1  1  9  -2.6  953  93  2.0 8  3.2  94    0   13 274 -304  3
4107500 2383500  1  1 10  -2.2  952  90  2.5 8  3.2  95    3   63 276 -305  3
4107500 2383500  1  1 11  -1.9  952  70  2.7 7  3.3  94    8  108 273 -307  3
4107500 2383500  1  1 12  -1.3  951  70  3.2 6  3.3  92    5  124 266 -308  3
4107500 2383500  1  1 13  -1.4  949  75  2.8 6  3.3  90    0   99 261 -309  3
4107500 2383500  1  1 14  -1.1  948  73  2.9 7  3.2  88    0   65 267 -311  3
4107500 2383500  1  1 15  -1.7  946  78  3.0 8  3.2  89    0   30 280 -311  3
4107500 2383500  1  1 16  -1.7  946  66  3.0 8  3.2  90    0   31 287 -309  3
4107500 2383500  1  1 17  -1.9  946  71  3.0 8  3.2  90    0    7 289 -306  3
4107500 2383500  1  1 18  -2.2  946  75  2.1 7  3.1  90    0    0 282 -303  3
4107500 2383500  1  1 19  -2.2  945  61  3.0 8  3.1  90    0    0 282 -300  3
4107500 2383500  1  1 20  -2.3  945  47  2.5 8  3.1  89    0    0 291 -298  3
4107500 2383500  1  1 21  -2.4  945 306  3.1 8  3.1  90    0    0 292 -297  3
4107500 2383500  1  1 22  -2.6  945  33  3.2 8  3.0  90    0    0 291 -298  3
4107500 2383500  1  1 23  -2.5  945  24  3.1 8  3.0  89    0    0 291 -301  3
4107500 2383500  1  1 24  -3.0  945  78  3.1 6  2.9  88    0    0 275 -303  3
4107500 2383500  1  2  1  -3.7  944  81  2.9 8  2.9  90    0    0 274 -303  3
4107500 2383500  1  2  2  -3.9  944  80  2.8 8  2.8  93    0    0 288 -303  3
4107500 2383500  1  2  3  -4.1  944  79  3.2 8  2.8  94    0    0 287 -303  3
4107500 2383500  1  2  4  -4.1  945  81  3.8 8  2.8  93    0    0 287 -304  3
4107500 2383500  1  2  5  -4.4  945  70  2.9 8  2.8  94    0    0 285 -304  3
4107500 2383500  1  2  6  -4.6  945  61  3.2 8  2.8  96    0    0 285 -304  3
4107500 2383500  1  2  7  -4.7  945  60  3.1 8  2.7  95    0    0 284 -304  3
4107500 2383500  1  2  8  -4.7  945  62  3.5 8  2.7  94    0    0 283 -304  3
4107500 2383500  1  2  9  -4.8  946  64  3.7 8  2.7  94    4   19 283 -304  3
4107500 2383500  1  2 10  -4.5  946  57  3.3 8  2.7  93   21   82 281 -305  3
4107500 2383500  1  2 11  -4.0  947  73  3.5 6  2.7  92   30  134 257 -308  3
4107500 2383500  1  2 12  -3.5  948  54  3.3 6  2.7  89    6  129 233 -311  3
4107500 2383500  1  2 13  -3.7  948  60  3.3 8  2.7  87    0   55 259 -313  3
4107500 2383500  1  2 14  -3.5  948  60  3.8 8  2.6  84    0   52 282 -314  3
4107500 2383500  1  2 15  -4.0  948  73  4.0 7  2.5  83    0   38 272 -315  3
4107500 2383500  1  2 16  -4.1  948  60  4.0 8  2.5  82    0   12 272 -315  3
4107500 2383500  1  2 17  -4.6  949  71  4.1 8  2.4  81    0    0 281 -314  3
4107500 2383500  1  2 18  -4.7  950  76  3.6 8  2.3  80    0    0 280 -314  3
