Koordinatensystem : Lambert konform konisch
Rechtswert        : 4110500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 529 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4110500 2385500  1  1  1  -5.0  954 162  2.0 4  2.7  95    0    0 212 -285  2
4110500 2385500  1  1  2  -5.2  954 140  2.3 2  2.7  96    0    0 204 -284  2
4110500 2385500  1  1  3  -5.5  954 123  2.6 1  2.6  97    0    0 198 -283  2
4110500 2385500  1  1  4  -6.0  953 120  2.4 0  2.5  97    0    0 190 -282  2
4110500 2385500  1  1  5  -6.4  952 120  2.5 0  2.4  96    0    0 182 -281  2
4110500 2385500  1  1  6  -6.9  952 110  2.0 0  2.3  96    0    0 179 -279  2
4110500 2385500  1  1  7  -6.8  951 120  2.7 0  2.3  97    0    0 178 -279  2
4110500 2385500  1  1  8  -6.7  950 120  2.0 2  2.3  94    0    0 192 -279  2
4110500 2385500  1  1  9  -7.0  950 110  2.0 3  2.3  94    7   15 209 -280  2
4110500 2385500  1  1 10  -5.2  949 120  2.7 5  2.3  92   32   60 228 -284  2
4110500 2385500  1  1 11  -3.4  949 110  2.0 4  2.5  84   88   98 238 -290  2
4110500 2385500  1  1 12  -1.8  949 110  2.0 4  2.6  78  163  107 237 -299  2
4110500 2385500  1  1 13   0.7  949  80  1.3 3  2.8  72  260   82 236 -306  2
4110500 2385500  1  1 14   1.3  947  80  2.0 4  2.8  65  115  119 237 -310  2
4110500 2385500  1  1 15   2.0  947  70  1.3 5  2.8  62   58   94 247 -312  2
4110500 2385500  1  1 16  -0.1  947 147  2.0 6  3.0  69    7   47 256 -313  2
4110500 2385500  1  1 17  -1.4  947 149  2.0 7  3.1  81    0    9 266 -314  2
4110500 2385500  1  1 18  -2.0  946 158  1.4 7  3.1  86    0    0 269 -314  2
4110500 2385500  1  1 19  -1.4  946 110  1.3 7  3.2  88    0    0 264 -315  2
4110500 2385500  1  1 20  -1.0  946 130  2.1 7  3.3  89    0    0 262 -315  2
4110500 2385500  1  1 21  -0.3  946 160  2.0 7  3.5  90    0    0 263 -315  2
4110500 2385500  1  1 22  -0.3  945 147  1.3 7  3.6  90    0    0 275 -315  2
4110500 2385500  1  1 23  -0.4  945  90  1.3 7  3.6  91    0    0 284 -317  2
4110500 2385500  1  1 24  -0.6  945 145  1.3 6  3.6  92    0    0 279 -319  2
4110500 2385500  1  2  1  -0.5  945 310  1.4 6  3.6  93    0    0 273 -319  2
4110500 2385500  1  2  2  -0.8  945 170  1.5 6  3.7  94    0    0 271 -317  2
4110500 2385500  1  2  3   1.1  945 160  2.1 7  3.9  94    0    0 282 -317  2
4110500 2385500  1  2  4   1.8  945 230  1.1 7  4.0  89    0    0 294 -319  2
4110500 2385500  1  2  5   2.8  945 190  1.4 7  3.9  81    0    0 297 -319  2
4110500 2385500  1  2  6   2.8  945 160  2.1 7  3.9  77    0    0 298 -320  2
4110500 2385500  1  2  7   3.7  944 160  3.0 6  3.8  74    0    0 291 -319  2
4110500 2385500  1  2  8   3.9  943 160  2.9 5  3.7  70    0    0 277 -318  2
4110500 2385500  1  2  9   3.4  942 130  2.3 5  3.7  71    0    7 272 -320  2
4110500 2385500  1  2 10   1.2  943 320  3.7 6  3.8  80    9   60 274 -324  2
4110500 2385500  1  2 11   1.8  943 310  2.4 5  3.9  87   55  107 269 -328  2
4110500 2385500  1  2 12   3.7  945 170  1.5 5  4.2  84   54  137 261 -333  2
4110500 2385500  1  2 13   5.6  945 190  2.1 7  4.7  82    8  126 280 -335  2
4110500 2385500  1  2 14   6.8  944 210  2.3 8  5.4  85    4  103 312 -338  2
4110500 2385500  1  2 15   7.4  945 220  3.0 8  5.7  84    0   63 326 -339  2
4110500 2385500  1  2 16   7.3  945 220  3.1 7  5.8  84    2   42 318 -337  2
4110500 2385500  1  2 17   6.8  945 210  3.2 7  6.0  89    0    3 310 -332  2
4110500 2385500  1  2 18   6.3  945 180  3.8 8  6.0  93    0    0 318 -329  2
4110500 2385500  1  2 19   6.5  945 190  3.7 7  5.9  93    0    0 317 -327  2
4110500 2385500  1  2 20   5.8  944 160  2.3 6  5.8  91    0    0 300 -326  2
4110500 2385500  1  2 21   4.4  943 189  2.2 6  5.6  95    0    0 290 -326  2
4110500 2385500  1  2 22   4.3  944 100  1.4 7  5.5  99    0    0 298 -327  2
4110500 2385500  1  2 23   4.8  944 110  1.4 7  5.6 100    0    0 306 -329  2
4110500 2385500  1  2 24   4.6  944 150  2.1 8  5.7 100    0    0 312 -330  2
4110500 2385500  1  3  1   4.6  944 210  2.2 7  5.6  99    0    0 312 -330  2
4110500 2385500  1  3  2   4.8  945 150  2.2 8  5.6  99    0    0 313 -329  2
4110500 2385500  1  3  3   4.9  944 170  2.9 8  5.7  99    0    0 320 -328  2
4110500 2385500  1  3  4   5.0  945 230  2.8 8  5.8 100    0    0 319 -327  2
4110500 2385500  1  3  5   5.4  945 210  2.9 8  5.9  99    0    0 319 -324  2
4110500 2385500  1  3  6   5.1  946 230  2.9 7  5.8  98    0    0 312 -323  2
4110500 2385500  1  3  7   5.0  946 230  3.3 8  5.7  98    0    0 310 -323  2
4110500 2385500  1  3  8   4.9  947 220  3.3 7  5.7  98    0    0 310 -322  2
4110500 2385500  1  3  9   4.7  947 220  3.3 7  5.5  96    0    6 301 -323  2
4110500 2385500  1  3 10   4.9  948 230  4.0 7  5.3  93    0   42 299 -324  2
4110500 2385500  1  3 11   6.0  948 240  4.7 4  5.1  86   71  107 281 -327  2
4110500 2385500  1  3 12   7.8  949 250  6.1 4  5.0  75  168  113 269 -331  2
4110500 2385500  1  3 13   8.3  950 250  6.9 5  4.7  66  115  139 280 -335  2
4110500 2385500  1  3 14   7.9  950 260  6.8 4  4.7  65   91  130 282 -336  2
4110500 2385500  1  3 15   7.8  950 260  4.6 4  4.8  68   78   96 276 -336  2
4110500 2385500  1  3 16   6.8  949 250  5.2 4  4.7  70   32   53 274 -332  2
4110500 2385500  1  3 17   6.1  950 240  3.7 3  4.8  74    0   10 266 -325  2
4110500 2385500  1  3 18   5.8  950 250  3.7 4  4.8  78    0    0 263 -319  2
4110500 2385500  1  3 19   5.6  951 260  4.3 5  4.8  79    0    0 272 -316  2
