Koordinatensystem : Lambert konform konisch
Rechtswert        : 4111500 Meter
Hochwert          : 2384500 Meter
Hoehenlage        : 526 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4111500 2384500  1  1  1  -1.5  958 113  1.7 6  3.1  85    0    0 274 -308  2
4111500 2384500  1  1  2  -1.4  958  76  1.8 7  3.2  87    0    0 274 -308  2
4111500 2384500  1  1  3  -1.2  957  48  2.0 8  3.3  88    0    0 274 -307  2
4111500 2384500  1  1  4  -1.3  957  51  2.0 8  3.2  88    0    0 274 -307  2
4111500 2384500  1  1  5  -1.5  957  56  2.0 8  3.2  88    0    0 275 -307  2
4111500 2384500  1  1  6  -1.6  956  58  1.6 8  3.1  88    0    0 275 -306  2
4111500 2384500  1  1  7  -1.7  956  69  2.1 8  3.1  88    0    0 275 -305  2
4111500 2384500  1  1  8  -1.7  955  77  1.7 8  3.1  88    0    0 276 -304  2
4111500 2384500  1  1  9  -1.8  955  93  1.3 8  3.1  89    0   13 277 -305  2
4111500 2384500  1  1 10  -1.6  954  98  1.9 7  3.2  90    4   62 274 -305  2
4111500 2384500  1  1 11  -1.3  954  71  1.8 7  3.2  89    3   92 271 -307  2
4111500 2384500  1  1 12  -1.3  953  71  2.3 6  3.3  89    2  108 266 -309  2
4111500 2384500  1  1 13  -1.0  952  77  1.8 6  3.2  88    1  102 261 -310  2
4111500 2384500  1  1 14  -0.8  951  81  2.1 7  3.2  85    0   67 269 -312  2
4111500 2384500  1  1 15  -1.2  949  81  2.3 8  3.2  85    0   31 282 -312  2
4111500 2384500  1  1 16  -1.2  949  70  2.4 8  3.2  85    0   29 289 -310  2
4111500 2384500  1  1 17  -1.4  949  73  2.2 8  3.1  85    0    7 290 -307  2
4111500 2384500  1  1 18  -1.5  949  76  1.8 8  3.1  85    0    0 291 -303  2
4111500 2384500  1  1 19  -1.6  948  60  2.7 8  3.1  85    0    0 292 -301  2
4111500 2384500  1  1 20  -1.6  948  53  2.1 8  3.0  85    0    0 293 -299  2
4111500 2384500  1  1 21  -1.5  948 311  2.6 8  3.0  84    0    0 294 -298  2
4111500 2384500  1  1 22  -1.7  948   6  2.6 8  3.0  83    0    0 293 -298  2
4111500 2384500  1  1 23  -1.9  948  18  2.4 8  3.0  84    0    0 293 -301  2
4111500 2384500  1  1 24  -2.2  948  81  2.7 6  2.9  83    0    0 278 -304  2
4111500 2384500  1  2  1  -3.0  947  81  2.6 8  2.8  84    0    0 276 -304  2
4111500 2384500  1  2  2  -3.3  946  80  2.4 8  2.8  89    0    0 290 -304  2
4111500 2384500  1  2  3  -3.4  946  80  2.7 8  2.9  90    0    0 290 -304  2
4111500 2384500  1  2  4  -3.4  947  81  3.3 8  2.8  90    0    0 288 -304  2
4111500 2384500  1  2  5  -3.7  947  71  2.3 8  2.8  90    0    0 288 -305  2
4111500 2384500  1  2  6  -3.8  947  63  2.7 8  2.8  91    0    0 286 -305  2
4111500 2384500  1  2  7  -3.9  947  61  2.4 8  2.8  90    0    0 286 -305  2
4111500 2384500  1  2  8  -4.0  947  63  2.9 8  2.7  90    0    0 286 -305  2
4111500 2384500  1  2  9  -4.0  948  62  3.1 8  2.7  89    3   18 284 -305  2
4111500 2384500  1  2 10  -3.8  949  52  2.8 8  2.7  89   32   87 284 -306  2
4111500 2384500  1  2 11  -3.3  949  69  3.1 6  2.7  87   36  137 259 -309  2
4111500 2384500  1  2 12  -3.1  950  49  3.0 7  2.7  84    8  134 247 -312  2
4111500 2384500  1  2 13  -3.2  950  60  3.0 8  2.7  83    0   62 272 -314  2
4111500 2384500  1  2 14  -3.2  950  55  3.4 8  2.6  81    0   44 284 -315  2
4111500 2384500  1  2 15  -3.6  950  65  3.4 7  2.5  80    0   37 273 -315  2
4111500 2384500  1  2 16  -3.7  951  56  3.5 8  2.5  80    0   15 274 -315  2
4111500 2384500  1  2 17  -4.1  952  70  3.5 8  2.4  78    0    0 283 -315  2
4111500 2384500  1  2 18  -4.1  953  70  3.1 8  2.3  77    0    0 282 -315  2
4111500 2384500  1  2 19  -4.1  954  53  2.9 8  2.3  78    0    0 282 -314  2
4111500 2384500  1  2 20  -4.3  954  48  2.7 8  2.3  80    0    0 281 -314  2
4111500 2384500  1  2 21  -4.6  955  37  3.0 8  2.3  81    0    0 279 -314  2
4111500 2384500  1  2 22  -4.9  955  59  2.4 7  2.3  82    0    0 273 -314  2
4111500 2384500  1  2 23  -5.3  955  59  2.3 7  2.2  82    0    0 265 -314  2
4111500 2384500  1  2 24  -6.2  956  69  2.5 8  2.1  81    0    0 268 -314  2
4111500 2384500  1  3  1  -6.7  957  70  2.2 8  2.0  80    0    0 270 -314  2
4111500 2384500  1  3  2  -7.5  957  69  2.2 6  1.9  80    0    0 256 -314  2
4111500 2384500  1  3  3  -8.1  957  90  1.7 6  1.8  81    0    0 242 -314  2
4111500 2384500  1  3  4  -8.8  957  69  1.5 3  1.7  82    0    0 224 -314  2
4111500 2384500  1  3  5  -9.5  958 110  1.4 2  1.7  84    0    0 198 -314  2
4111500 2384500  1  3  6 -10.5  958  48  1.3 1  1.6  86    0    0 184 -313  2
4111500 2384500  1  3  7 -11.5  958  49  1.1 3  1.5  86    0    0 186 -312  2
4111500 2384500  1  3  8 -10.5  958  68  1.0 5  1.5  88    0    0 209 -312  2
4111500 2384500  1  3  9  -9.0  958  59  1.5 6  1.7  88   13   19 229 -311  2
4111500 2384500  1  3 10  -7.8  959  38  0.9 6  1.8  86   51   69 238 -311  2
4111500 2384500  1  3 11  -6.5  959 191  1.1 3  1.9  82  128  109 226 -311  2
4111500 2384500  1  3 12  -5.2  959  49  2.2 2  2.0  77  166  134 209 -312  2
4111500 2384500  1  3 13  -4.8  958  41  2.5 4  2.0  74   39  153 214 -312  2
4111500 2384500  1  3 14  -4.4  958  29  2.0 5  2.1  73    5  108 229 -312  2
4111500 2384500  1  3 15  -4.8  957  69  2.1 6  2.0  71    2   73 239 -311  2
4111500 2384500  1  3 16  -5.2  958  70  1.5 6  2.0  72    1   38 242 -308  2
4111500 2384500  1  3 17  -5.3  958  42  1.7 7  2.1  76    0    4 246 -305  2
4111500 2384500  1  3 18  -5.3  958  61  1.6 8  2.1  78    0    0 253 -302  2
4111500 2384500  1  3 19  -5.2  958  80  1.4 7  2.1  77    0    0 251 -298  2
4111500 2384500  1  3 20  -5.3  957 114  2.1 7  1.9  70    0    0 244 -293  2
4111500 2384500  1  3 21  -5.3  957  96  0.9 8  1.8  66    0    0 246 -289  2
4111500 2384500  1  3 22  -5.3  957  53  1.5 8  1.8  68    0    0 250 -288  2
4111500 2384500  1  3 23  -5.3  957 111  1.3 8  1.9  70    0    0 250 -287  2
4111500 2384500  1  3 24  -5.4  957 188  1.6 8  1.9  70    0    0 249 -289  2
4111500 2384500  1  4  1  -5.6  957 222  1.5 8  1.9  70    0    0 247 -292  2
4111500 2384500  1  4  2  -6.1  956 232  2.2 8  1.8  71    0    0 245 -293  2
4111500 2384500  1  4  3  -6.0  956 257  1.6 8  1.8  72    0    0 245 -294  2
4111500 2384500  1  4  4  -6.2  956 290  2.0 8  1.8  72    0    0 245 -295  2
4111500 2384500  1  4  5  -6.5  956 275  2.7 8  1.8  72    0    0 244 -295  2
4111500 2384500  1  4  6  -6.7  956 261  2.1 7  1.8  74    0    0 241 -295  2
4111500 2384500  1  4  7  -6.6  955 260  1.7 8  1.9  78    0    0 241 -296  2
4111500 2384500  1  4  8  -6.2  955 264  2.1 8  2.0  80    0    0 247 -297  2
4111500 2384500  1  4  9  -5.8  955 290  2.5 8  2.1  82    2   16 249 -297  2
4111500 2384500  1  4 10  -5.5  955 292  3.0 8  2.1  81    6   66 252 -299  2
4111500 2384500  1  4 11  -5.0  955 261  2.7 7  2.2  80    0   71 251 -302  2
4111500 2384500  1  4 12  -4.6  955 256  2.8 8  2.2  79    0   54 256 -306  2
4111500 2384500  1  4 13  -4.0  955 251  4.1 8  2.2  77    0   48 265 -309  2
4111500 2384500  1  4 14  -3.8  955 287  3.5 8  2.2  75    0   40 267 -311  2
4111500 2384500  1  4 15  -4.2  955 255  4.1 8  2.3  77    0   40 268 -311  2
4111500 2384500  1  4 16  -4.2  955 249  3.6 8  2.4  83    0   32 268 -310  2
4111500 2384500  1  4 17  -3.9  955 231  4.0 8  2.5  84    0    9 268 -308  2
4111500 2384500  1  4 18  -3.5  955 249  5.0 8  2.5  82    0    0 267 -307  2
4111500 2384500  1  4 19  -2.8  955 233  6.0 8  2.5  79    0    0 267 -306  2
