Koordinatensystem : Lambert konform konisch
Rechtswert        : 4108500 Meter
Hochwert          : 2383500 Meter
Hoehenlage        : 544 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4108500 2383500  1  1  1  -1.7  956  51  2.1 8  3.4  96    0    0 272 -307  2
4108500 2383500  1  1  2  -1.8  956  51  2.1 8  3.3  94    0    0 273 -307  2
4108500 2383500  1  1  3  -1.9  955  52  2.1 8  3.3  93    0    0 272 -306  2
4108500 2383500  1  1  4  -2.0  955  54  2.1 8  3.2  92    0    0 272 -306  2
4108500 2383500  1  1  5  -2.1  955  59  2.1 8  3.2  92    0    0 273 -306  2
4108500 2383500  1  1  6  -2.2  954  59  1.8 8  3.2  92    0    0 274 -305  2
4108500 2383500  1  1  7  -2.4  954  76  2.3 8  3.2  93    0    0 273 -305  2
4108500 2383500  1  1  8  -2.3  953  79  2.1 8  3.2  93    0    0 273 -304  2
4108500 2383500  1  1  9  -2.4  953  93  1.8 8  3.2  93    0   13 274 -304  2
4108500 2383500  1  1 10  -2.1  952  91  2.3 8  3.2  94    3   63 277 -305  2
4108500 2383500  1  1 11  -1.9  952  70  2.4 7  3.2  93    7  105 273 -307  2
4108500 2383500  1  1 12  -1.3  951  70  2.9 6  3.3  92    4  122 265 -308  2
4108500 2383500  1  1 13  -1.3  949  75  2.5 6  3.3  89    0  100 261 -310  2
4108500 2383500  1  1 14  -1.1  949  73  2.7 7  3.2  88    0   66 268 -311  2
4108500 2383500  1  1 15  -1.6  947  79  2.7 8  3.2  88    0   30 280 -311  2
4108500 2383500  1  1 16  -1.7  947  66  2.8 8  3.2  90    0   31 287 -309  2
4108500 2383500  1  1 17  -1.9  946  72  2.8 8  3.2  89    0    7 289 -306  2
4108500 2383500  1  1 18  -2.0  946  75  2.0 7  3.1  88    0    0 282 -303  2
4108500 2383500  1  1 19  -2.1  946  61  2.9 8  3.1  88    0    0 283 -300  2
4108500 2383500  1  1 20  -2.3  945  48  2.4 8  3.1  88    0    0 291 -298  2
4108500 2383500  1  1 21  -2.4  945 308  2.9 8  3.0  89    0    0 292 -297  2
4108500 2383500  1  1 22  -2.6  945  32  3.0 8  3.0  89    0    0 291 -298  2
4108500 2383500  1  1 23  -2.6  945  24  2.9 8  3.0  89    0    0 291 -301  2
4108500 2383500  1  1 24  -2.9  945  79  3.0 6  2.9  87    0    0 276 -303  2
4108500 2383500  1  2  1  -3.6  944  81  2.9 8  2.8  89    0    0 274 -303  2
4108500 2383500  1  2  2  -3.8  944  79  2.6 8  2.9  92    0    0 288 -303  2
4108500 2383500  1  2  3  -4.0  944  79  3.1 8  2.8  93    0    0 287 -303  2
