Koordinatensystem : Lambert konform konisch
Rechtswert        : 4110500 Meter
Hochwert          : 2384500 Meter
Hoehenlage        : 538 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4110500 2384500  1  1  1  -1.2  957  49  2.0 7  3.4  92    0    0 273 -307  1
4110500 2384500  1  1  2  -1.3  957  48  2.0 8  3.3  90    0    0 274 -307  1
4110500 2384500  1  1  3  -1.4  956  48  2.1 8  3.2  89    0    0 273 -307  1
4110500 2384500  1  1  4  -1.5  956  52  2.0 8  3.2  88    0    0 274 -306  1
4110500 2384500  1  1  5  -1.6  956  56  2.0 8  3.2  88    0    0 274 -306  1
4110500 2384500  1  1  6  -1.7  955  58  1.7 8  3.1  88    0    0 275 -306  1
4110500 2384500  1  1  7  -1.8  955  69  2.2 8  3.2  89    0    0 275 -304  1
4110500 2384500  1  1  8  -1.8  954  77  1.9 8  3.2  90    0    0 275 -304  1
4110500 2384500  1  1  9  -2.0  954  93  1.5 8  3.1  90    0   13 275 -304  1
4110500 2384500  1  1 10  -1.7  953  98  2.1 7  3.2  90    4   63 272 -305  1
4110500 2384500  1  1 11  -1.5  953  71  2.1 7  3.2  90    4   95 269 -306  1
4110500 2384500  1  1 12  -1.3  952  71  2.6 6  3.3  90    2  109 266 -308  1
4110500 2384500  1  1 13  -1.1  950  77  2.1 6  3.2  88    0  101 261 -310  1
4110500 2384500  1  1 14  -1.0  949  81  2.4 7  3.2  86    0   66 269 -311  1
4110500 2384500  1  1 15  -1.3  947  81  2.5 8  3.2  86    0   31 280 -311  1
4110500 2384500  1  1 16  -1.4  947  71  2.6 8  3.2  87    0   29 289 -309  1
4110500 2384500  1  1 17  -1.5  947  73  2.4 8  3.2  86    0    6 289 -306  1
4110500 2384500  1  1 18  -1.7  947  76  1.9 8  3.1  86    0    0 290 -303  1
4110500 2384500  1  1 19  -1.7  946  60  2.8 8  3.1  86    0    0 291 -300  1
4110500 2384500  1  1 20  -1.8  946  53  2.2 8  3.1  86    0    0 292 -298  1
4110500 2384500  1  1 21  -1.8  946 309  2.8 8  3.0  85    0    0 293 -297  1
4110500 2384500  1  1 22  -2.0  946   4  2.8 8  3.0  85    0    0 293 -298  1
4110500 2384500  1  1 23  -2.1  946  17  2.6 8  3.0  85    0    0 292 -301  1
4110500 2384500  1  1 24  -2.4  946  81  2.8 6  2.9  84    0    0 277 -303  1
4110500 2384500  1  2  1  -3.2  945  81  2.7 8  2.8  85    0    0 275 -304  1
4110500 2384500  1  2  2  -3.4  945  80  2.5 8  2.8  89    0    0 289 -303  1
4110500 2384500  1  2  3  -3.6  945  80  2.9 8  2.9  91    0    0 288 -303  1
4110500 2384500  1  2  4  -3.6  946  81  3.5 8  2.8  91    0    0 288 -304  1
4110500 2384500  1  2  5  -3.9  946  71  2.5 8  2.8  91    0    0 286 -304  1
4110500 2384500  1  2  6  -4.0  946  63  2.8 8  2.8  92    0    0 286 -305  1
4110500 2384500  1  2  7  -4.1  946  61  2.6 8  2.7  91    0    0 286 -304  1
4110500 2384500  1  2  8  -4.2  946  63  3.0 8  2.7  91    0    0 285 -304  1
4110500 2384500  1  2  9  -4.3  947  62  3.2 8  2.7  91    3   19 284 -304  1
4110500 2384500  1  2 10  -4.0  948  52  2.9 8  2.7  90   31   86 283 -305  1
4110500 2384500  1  2 11  -3.5  948  69  3.2 6  2.7  88   34  137 258 -309  1
4110500 2384500  1  2 12  -3.2  949  49  3.1 7  2.7  85    7  134 247 -312  1
4110500 2384500  1  2 13  -3.4  949  60  3.1 8  2.7  84    0   61 271 -313  1
4110500 2384500  1  2 14  -3.3  949  55  3.5 8  2.6  82    0   45 284 -314  1
4110500 2384500  1  2 15  -3.8  949  65  3.6 7  2.5  81    0   37 273 -315  1
4110500 2384500  1  2 16  -3.8  950  56  3.6 8  2.4  80    0   14 274 -315  1
4110500 2384500  1  2 17  -4.1  950  70  3.7 8  2.3  78    0    0 282 -315  1
4110500 2384500  1  2 18  -4.3  951  70  3.3 8  2.3  77    0    0 281 -314  1
4110500 2384500  1  2 19  -4.4  952  53  3.0 8  2.3  78    0    0 281 -314  1
4110500 2384500  1  2 20  -4.5  952  48  2.9 8  2.3  81    0    0 280 -313  1
4110500 2384500  1  2 21  -4.9  953  37  3.2 8  2.3  82    0    0 278 -313  1
4110500 2384500  1  2 22  -5.1  954  59  2.6 7  2.3  83    0    0 272 -313  1
4110500 2384500  1  2 23  -5.5  954  59  2.5 7  2.2  82    0    0 265 -313  1
4110500 2384500  1  2 24  -6.4  955  69  2.7 8  2.1  82    0    0 266 -314  1
4110500 2384500  1  3  1  -6.9  955  70  2.4 8  2.0  81    0    0 269 -314  1
4110500 2384500  1  3  2  -7.7  955  69  2.3 6  1.9  81    0    0 255 -314  1
4110500 2384500  1  3  3  -8.3  956  90  1.9 6  1.8  82    0    0 241 -313  1
4110500 2384500  1  3  4  -9.0  956  69  1.6 3  1.7  83    0    0 223 -313  1
4110500 2384500  1  3  5  -9.8  957 110  1.6 2  1.7  85    0    0 198 -313  1
4110500 2384500  1  3  6 -10.7  956  48  1.5 1  1.6  87    0    0 183 -313  1
4110500 2384500  1  3  7 -11.9  956  49  1.4 3  1.5  88    0    0 186 -312  1
4110500 2384500  1  3  8 -10.6  956  68  1.2 5  1.5  89    0    0 209 -311  1
4110500 2384500  1  3  9  -9.2  956  59  1.7 6  1.7  89   13   19 229 -310  1
4110500 2384500  1  3 10  -8.0  958  38  1.1 6  1.8  86   54   70 237 -310  1
4110500 2384500  1  3 11  -6.7  958 191  1.3 3  1.9  83  129  113 225 -310  1
4110500 2384500  1  3 12  -5.4  957  49  2.3 2  2.0  77  167  139 209 -311  1
4110500 2384500  1  3 13  -4.9  957  41  2.6 4  2.0  75   41  156 214 -312  1
4110500 2384500  1  3 14  -4.5  957  29  2.2 5  2.1  73    4  108 229 -311  1
4110500 2384500  1  3 15  -5.0  956  69  2.3 6  2.0  72    1   72 239 -310  1
4110500 2384500  1  3 16  -5.4  957  70  1.7 6  2.0  73    0   38 242 -308  1
4110500 2384500  1  3 17  -5.5  957  42  1.8 7  2.1  78    0    4 245 -304  1
4110500 2384500  1  3 18  -5.6  957  61  1.7 8  2.1  80    0    0 253 -301  1
4110500 2384500  1  3 19  -5.5  957  80  1.5 7  2.1  79    0    0 250 -297  1
4110500 2384500  1  3 20  -5.5  956 114  2.2 7  1.9  71    0    0 243 -292  1
4110500 2384500  1  3 21  -5.6  956  96  0.9 8  1.8  67    0    0 246 -289  1
4110500 2384500  1  3 22  -5.5  956  53  1.5 8  1.8  69    0    0 249 -287  1
4110500 2384500  1  3 23  -5.6  956 112  1.4 8  1.9  71    0    0 249 -287  1
4110500 2384500  1  3 24  -5.7  956 188  1.6 8  1.9  71    0    0 248 -289  1
4110500 2384500  1  4  1  -5.9  956 222  1.6 8  1.8  71    0    0 247 -291  1
4110500 2384500  1  4  2  -6.2  955 232  2.4 8  1.8  72    0    0 245 -293  1
4110500 2384500  1  4  3  -6.3  954 257  1.7 8  1.8  73    0    0 244 -294  1
4110500 2384500  1  4  4  -6.4  954 290  2.2 8  1.8  74    0    0 244 -294  1
4110500 2384500  1  4  5  -6.7  954 275  2.8 8  1.8  73    0    0 244 -295  1
4110500 2384500  1  4  6  -6.9  954 261  2.2 7  1.8  75    0    0 239 -295  1
4110500 2384500  1  4  7  -6.7  953 260  1.8 8  1.9  79    0    0 241 -295  1
4110500 2384500  1  4  8  -6.3  954 265  2.2 8  2.0  81    0    0 247 -296  1
4110500 2384500  1  4  9  -5.9  954 290  2.6 8  2.1  82    2   17 249 -296  1
4110500 2384500  1  4 10  -5.6  954 292  3.2 8  2.1  81    6   67 252 -298  1
4110500 2384500  1  4 11  -5.1  954 262  2.8 7  2.2  80    0   71 251 -302  1
4110500 2384500  1  4 12  -4.7  954 256  2.9 8  2.2  78    0   55 255 -305  1
4110500 2384500  1  4 13  -4.0  954 251  4.1 8  2.2  76    0   48 265 -308  1
4110500 2384500  1  4 14  -3.9  953 287  3.5 8  2.2  75    0   39 267 -311  1
4110500 2384500  1  4 15  -4.2  953 254  4.2 8  2.3  78    0   39 268 -311  1
4110500 2384500  1  4 16  -4.3  953 249  3.7 8  2.4  83    0   31 268 -310  1
4110500 2384500  1  4 17  -4.1  953 231  4.1 8  2.5  85    0    9 267 -308  1
4110500 2384500  1  4 18  -3.7  953 249  5.1 8  2.5  83    0    0 266 -306  1
4110500 2384500  1  4 19  -3.0  953 233  6.1 8  2.5  80    0    0 266 -306  1
4110500 2384500  1  4 20  -2.7  953 253  5.1 8  2.6  79    0    0 268 -306  1
4110500 2384500  1  4 21  -2.8  954 259  5.5 8  2.7  83    0    0 269 -306  1
4110500 2384500  1  4 22  -2.3  954 265  6.2 8  2.8  84    0    0 268 -306  1
4110500 2384500  1  4 23  -2.1  954 273  5.6 8  2.8  83    0    0 269 -306  1
4110500 2384500  1  4 24  -1.9  954 261  5.5 8  2.9  83    0    0 269 -307  1
4110500 2384500  1  5  1  -1.6  954 261  6.7 8  2.9  82    0    0 269 -307  1
4110500 2384500  1  5  2  -1.5  954 264  5.6 8  2.9  82    0    0 269 -305  1
4110500 2384500  1  5  3  -1.3  954 250  6.4 8  3.0  82    0    0 270 -304  1
4110500 2384500  1  5  4  -1.0  954 262  6.0 8  3.1  82    0    0 271 -303  1
4110500 2384500  1  5  5  -0.8  954 262  5.8 8  3.1  82    0    0 272 -303  1
4110500 2384500  1  5  6  -0.7  954 262  6.0 8  3.2  83    0    0 272 -303  1
4110500 2384500  1  5  7  -1.0  954 250  6.7 8  3.4  90    0    0 272 -304  1
4110500 2384500  1  5  8  -0.6  954 258  6.6 7  3.5  92    0    0 268 -304  1
4110500 2384500  1  5  9  -0.5  954 261  5.8 7  3.5  90    5   19 265 -304  1
4110500 2384500  1  5 10  -0.2  955 266  5.9 7  3.6  91   21   77 266 -306  1
4110500 2384500  1  5 11  -0.1  955 270  5.4 7  3.6  91    5   97 268 -308  1
4110500 2384500  1  5 12  -0.2  956 258  5.8 8  3.7  92    0   43 274 -311  1
4110500 2384500  1  5 13   0.1  956 274  5.6 7  3.8  94    0   50 278 -313  1
4110500 2384500  1  5 14   0.4  956 282  5.5 8  3.7  91    0   62 281 -314  1
4110500 2384500  1  5 15   0.4  956 282  4.1 8  3.6  88    0   32 286 -314  1
4110500 2384500  1  5 16   0.0  957 278  4.0 8  3.7  91    0   23 285 -314  1
4110500 2384500  1  5 17   0.1  958 270  3.7 8  3.7  92    0    7 285 -314  1
4110500 2384500  1  5 18  -0.2  958 270  2.9 8  3.7  93    0    0 285 -313  1
4110500 2384500  1  5 19  -0.4  959 260  2.6 7  3.8  96    0    0 280 -313  1
4110500 2384500  1  5 20  -0.3  959 279  2.2 7  3.8  96    0    0 276 -313  1
4110500 2384500  1  5 21  -0.4  959 260  1.7 8  3.8  96    0    0 280 -313  1
4110500 2384500  1  5 22  -0.3  960 359  0.6 8  3.8  96    0    0 284 -312  1
4110500 2384500  1  5 23  -0.3  960 359  0.6 8  3.7  96    0    0 284 -312  1
4110500 2384500  1  5 24  -0.4  960   1  0.6 8  3.8  96    0    0 284 -311  1
4110500 2384500  1  6  1  -0.2  960 359  0.4 8  3.8  97    0    0 285 -311  1
4110500 2384500  1  6  2  -0.2  960 113  0.6 7  3.8  97    0    0 282 -311  1
4110500 2384500  1  6  3   0.1  960 358  0.4 8  3.9  97    0    0 283 -311  1
4110500 2384500  1  6  4  -0.2  960 358  0.5 8  3.9  97    0    0 289 -312  1
4110500 2384500  1  6  5  -0.1  960  90  0.6 7  3.8  97    0    0 285 -313  1
4110500 2384500  1  6  6   0.1  960 130  0.9 7  3.9  96    0    0 281 -315  1
4110500 2384500  1  6  7   0.2  960   0  0.7 7  3.9  97    0    0 282 -315  1
4110500 2384500  1  6  8   0.3  960 130  1.7 8  4.0  97    0    0 289 -315  1
4110500 2384500  1  6  9   0.4  960 120  1.6 8  4.0  96    0   11 298 -315  1
4110500 2384500  1  6 10   0.6  960 140  2.5 8  4.0  95    6   61 300 -315  1
4110500 2384500  1  6 11   1.0  960 130  2.1 7  4.0  94    7   95 294 -315  1
4110500 2384500  1  6 12   1.5  960 110  1.7 7  4.0  91    0   88 288 -316  1
4110500 2384500  1  6 13   2.1  959 100  1.4 6  4.0  88    5  119 281 -316  1
4110500 2384500  1  6 14   2.1  958 130  2.1 7  4.0  85    2   98 282 -316  1
